trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
65,False,"{'a': 0.7, 'e': 46.750000000000185}",20,0,-171.96105480264305,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
66,False,"{'a': 0.7, 'e': 46.70000000000019}",25,0,-108.82491281536953,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
67,False,"{'a': 0.7, 'e': 46.65000000000019}",30,0,-164.82549130957216,"{0: 17, 1: 2, 2: 7, 3: 3, 4: 1}",0
68,False,"{'a': 0.7, 'e': 46.60000000000019}",20,0,-122.38088539271794,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
69,False,"{'a': 0.7, 'e': 46.550000000000196}",30,0,-94.21360235039982,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
70,False,"{'a': 0.7, 'e': 46.5000000000002}",25,0,-167.21453027247617,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
71,False,"{'a': 0.7, 'e': 46.4500000000002}",20,0,-17.195336937136553,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
72,False,"{'a': 0.7, 'e': 46.400000000000205}",20,0,-150.62673221866817,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
73,False,"{'a': 0.7, 'e': 46.35000000000021}",20,0,-93.83603056216127,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
74,False,"{'a': 0.7, 'e': 46.30000000000021}",20,0,-92.67658090676383,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
75,False,"{'a': 0.7, 'e': 46.25000000000021}",20,0,-143.04625333276553,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
76,False,"{'a': 0.7, 'e': 46.200000000000216}",20,0,-55.39861610515315,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
77,False,"{'a': 0.7, 'e': 46.15000000000022}",20,0,-82.3769914043597,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
78,False,"{'a': 0.7, 'e': 46.10000000000022}",20,0,-187.47441506107708,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 3}",0
79,False,"{'a': 0.7, 'e': 46.050000000000225}",20,0,-100.73826420029086,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
80,False,"{'a': 0.7, 'e': 46.00000000000023}",25,0,-119.3799460642303,"{0: 13, 1: 1, 2: 9, 3: 2, 4: 0}",0
81,False,"{'a': 0.7, 'e': 45.95000000000023}",25,0,-162.19150659850595,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
82,False,"{'a': 0.7, 'e': 45.90000000000023}",20,0,-147.77377638007437,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
83,False,"{'a': 0.7, 'e': 45.850000000000236}",20,0,-203.06423585628102,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
84,False,"{'a': 0.7, 'e': 45.80000000000024}",20,0,-33.34247786138724,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.7, 'e': 45.75000000000024}",20,0,-92.32340125149628,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
86,False,"{'a': 0.7, 'e': 45.700000000000244}",20,11,-19.59695528188209,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.7, 'e': 45.65000000000025}",25,0,-148.02974373619378,"{0: 10, 1: 6, 2: 7, 3: 1, 4: 1}",0
88,False,"{'a': 0.7, 'e': 45.60000000000025}",25,15,-29.613512232463158,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 0}",1
89,False,"{'a': 0.7, 'e': 45.55000000000025}",25,0,-92.46621460248045,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
90,False,"{'a': 0.7, 'e': 45.500000000000256}",30,0,-216.9717160988497,"{0: 14, 1: 5, 2: 7, 3: 1, 4: 3}",0
91,False,"{'a': 0.7, 'e': 45.45000000000026}",25,0,-172.03189137915965,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
92,False,"{'a': 0.7, 'e': 45.40000000000026}",25,0,-84.17504661750488,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
93,False,"{'a': 0.7, 'e': 45.350000000000264}",25,0,-65.15498706607362,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
94,False,"{'a': 0.7, 'e': 45.30000000000027}",30,0,-175.23024256545182,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
95,False,"{'a': 0.7, 'e': 45.25000000000027}",20,0,-166.74815996629593,"{0: 10, 1: 5, 2: 1, 3: 1, 4: 3}",0
96,False,"{'a': 0.7, 'e': 45.20000000000027}",20,0,-156.15418354886074,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
97,False,"{'a': 0.7, 'e': 45.150000000000276}",30,0,-99.61881116551321,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 1}",0
98,False,"{'a': 0.7, 'e': 45.10000000000028}",25,0,-137.44553480955722,"{0: 13, 1: 5, 2: 3, 3: 3, 4: 1}",0
99,False,"{'a': 0.7, 'e': 45.05000000000028}",20,0,-74.17174937582232,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
100,False,"{'a': 0.7, 'e': 45.000000000000284}",35,1,-255.48765035631976,"{0: 16, 1: 6, 2: 7, 3: 1, 4: 4}",1
101,False,"{'a': 0.7, 'e': 44.95000000000029}",25,6,-24.095534312035245,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
102,False,"{'a': 0.7, 'e': 44.90000000000029}",20,0,-173.39719685346097,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
103,False,"{'a': 0.7, 'e': 44.85000000000029}",25,0,-100.3731499683859,"{0: 13, 1: 6, 2: 4, 3: 2, 4: 0}",0
